xj,xj+1,cj1,cj2,cj3,cj4
2.8,6,0.00E+00,0.00E+00,0.00E+00,1.12E+00
6,10,2.87E-04,-3.02E-03,0.00E+00,1.12E+00
10,84,0.00E+00,0.00E+00,-1.04E-02,1.09E+00
84,87.2,-5.35E-04,-1.82E-03,-1.04E-02,3.20E-01
87.2,89.166,-5.35E-04,-6.95E-03,-3.85E-02,2.51E-01
