xj,xj+1,cj1,cj2,cj3,cj4
2.8,4.8,0.00E+00,0.00E+00,0.00E+00,1.00E+00
4.8,18.831,1.63E-04,-4.64E-03,0.00E+00,1.00E+00
18.831,27.151,-6.94E-05,2.23E-03,-3.38E-02,5.37E-01
27.151,37.424,-1.20E-05,4.96E-04,-1.12E-02,3.70E-01
37.424,63.615,-9.35E-07,1.27E-04,-4.75E-03,2.95E-01
63.615,89.166,0.00E+00,0.00E+00,0.00E+00,2.41E-01
